,Longitude,Latitude
0,-87.6618302,41.8676894
1,-87.862995,41.99247800000001
2,-87.75573633333333,41.792604749999995
3,-87.59149685714287,41.72480314285714
4,-87.73314725,41.98646400000001
5,-87.78944081818182,41.92169990909091
6,-87.71045259999998,41.6828222
7,-87.890615,41.974689
8,-87.71397255555554,41.94307844444444
9,-87.6620692,41.7986834
10,-87.73360840000001,41.7474682
11,-87.79660209090908,42.009308
12,-87.53869300000002,41.659112
13,-87.6559045,41.724762125
14,-87.8084302,41.9578338
15,-87.71159735294117,41.89340605882353
16,-87.68138530769231,41.98044807692308
17,-87.64024555555557,41.92028533333333
18,-87.599862,41.673408
19,-87.7592965,41.968046625
20,-87.58339866666667,41.77272166666667
21,-87.69898066666667,41.77111466666666
22,-87.62532424999999,41.773709000000004
23,-87.754526,41.907694666666664
